it	posterior	prior	likelihood	d12_t66.0	d21_t66.0	d12_t56.0	d21_t56.0	d12_t47.8	d21_t47.8	d12_t33.9	d21_t33.9	d12_t2.588	d21_t2.588	d12_t0.0	d21_t0.0	d12_t0.0	d21_t0.0	e1_t66.0	e2_t66.0	e1_t56.0	e2_t56.0	e1_t47.8	e2_t47.8	e1_t33.9	e2_t33.9	e1_t2.588	e2_t2.588	e1_t0.0	e2_t0.0	e1_t0.0	e2_t0.0	q1_t66.0	q2_t66.0	q1_t56.0	q2_t56.0	q1_t47.8	q2_t47.8	q1_t33.9	q2_t33.9	q1_t2.588	q2_t2.588	q1_t0.0	q2_t0.0	q1_t0.0	q2_t0.0	cov_d12	cov_d21	cov_e1	cov_e2	hp_rate	beta
0	-1759.24532650163	-5.451808656801907	-1753.793517844828	0.06563569286762516	0.06938648596595468	0.09951123625611782	0.11351249610913382	0.1380219977218583	0.1402536556422245	0.0807160768485095	0.12533800731255856	0.07824280305589726	0.0868576869765276	0.07927265620931302	0.09136907361991013	0.07147156956683806	0.0818986006470189	0.030159320375951315	0.046924027303546556	0.039846405630936846	0.02830821150721677	0.04018488901232527	0.03512092314427703	0.022150337366074746	0.03086637253653088	0.03849248782589717	0.022212541257932268	0.010500913475458932	0.020730513165437454	0.041869819023603365	0.047199723558540053	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.0	0.0	0.0	0.0	1.0	1.0
100	-1623.7671277606253	-6.132793016175288	-1617.63433474445	0.11637226806197111	0.10438712524574713	0.09591595999557545	0.11760287706815539	0.12159763858733225	0.07160920669122144	0.04220005451522301	0.06997859057725231	0.06571025001798132	0.10614276189432387	0.0915671540563468	0.25932520969612427	0.04783827272659584	0.10933821425675955	0.04816990636109517	0.046924027303546556	0.016731216202016688	0.011957933308194963	0.057496726974880334	0.03305877619510206	0.014783100367453091	0.04790307896027012	0.013346832801323772	0.07112299823493475	0.005827215440273886	0.033793935630169615	0.6014423647450502	0.03489518744167677	0.4525938926879237	0.49129157270561646	0.2772588722239781	0.5676648704279069	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.16535960915127745	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.0	0.0	0.0	0.0	1.0	1.0
200	-1589.8687867482408	-6.111747634850637	-1583.7570391133902	0.10172670461528883	0.09694158218363487	0.07175233767129245	0.05717554627829053	0.12159763858733225	0.04166578766962817	0.04220005451522301	0.08116559991769746	0.05283114360413165	0.08263900337819938	0.33040944823559065	0.21474492108011745	0.059456364612509166	0.1109208472211772	0.03333674001975155	0.03863092076903714	0.025344231028791842	0.010735732890206288	0.022206019252914103	0.018517078008009263	0.011813962072788113	0.03275259751459296	0.004626467622431479	0.11053521975671991	0.008690817586092175	0.037466807759752814	0.5843076670469404	0.03180226113380555	0.4525938926879237	0.49129157270561646	0.2772588722239781	0.5676648704279069	0.4268780632786865	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.16535960915127745	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.0	0.0	0.0	0.0	1.0	1.0
300	-1572.1109092128133	-6.020212951704904	-1566.0906962611084	0.12644562214105604	0.08091966307136565	0.0698929964363022	0.054932728690861604	0.0772141162281415	0.046372547113855196	0.04220005451522301	0.07843579142776863	0.05283114360413165	0.12903935740168185	0.2816916186663869	0.46621864441493516	0.10649326194298449	0.07826780194012271	0.029408756485954334	0.013824058042261021	0.01729801065389162	0.018243434126386425	0.011300595836467052	0.011787512315219495	0.011813962072788113	0.043494380018322155	0.0058139271479888685	0.0687320710259491	0.016164706547517765	0.04822250497180323	0.3190822082044669	0.038317343842380294	0.4525938926879237	0.8649775898334514	0.2772588722239781	0.5676648704279069	0.4268780632786865	0.2854987187816879	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.13704751208374194	0.10669836514546079	0.2772588722239781	0.2772588722239781	0.0	0.0	0.0	0.0	1.0	1.0
400	-1566.2392174470772	-6.147792612002483	-1560.0914248350748	0.06444942057505157	0.05640681820890472	0.02437556092110372	0.11416458972890164	0.009410986338737402	0.0482618024318961	0.05462209409864713	0.040036174122681706	0.05335158216470257	0.2910217133864537	0.496578356225978	0.14701041637469936	0.05770657658551307	0.015514013670996812	0.04199267430709806	0.010775343220468202	0.023888887379131456	0.01582050762403901	0.011300595836467052	0.011006625610524384	0.013266774938220281	0.04036187861294015	0.005202851978207904	0.06759605509606094	0.03850994454495575	0.09869690747714377	0.6043795439372539	0.01632978378701427	0.4525938926879237	0.8649775898334514	0.37546612088336495	0.5676648704279069	0.4268780632786865	0.2854987187816879	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.13704751208374194	0.15638952544412305	0.07552861644571361	0.2772588722239781	0.0	0.0	0.0	0.0	1.0	1.0
500	-1560.499356905961	-7.039809908430241	-1553.4595469975307	0.07072998866648769	0.05770227482562559	0.030537397328933076	0.15119853583417556	0.015463676855577925	0.024605891002135557	0.044462774509249334	0.02780250471554897	0.07947910158604649	0.1942010683934104	0.8454038912105069	0.4604092281368117	0.24057873803145677	0.007163919805239009	0.041098599567399495	0.004664423969806349	0.01692341468491466	0.02000477306232988	0.011872484050367433	0.009151491145924088	0.009485476970735141	0.03370489320986719	0.006947968636457984	0.0976163595221576	0.021031540445586173	0.3330056503656501	0.4940374404362604	0.014772268642889125	0.4525938926879237	0.8649775898334514	0.37546612088336495	0.5676648704279069	0.4268780632786865	0.5305614018278956	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.13704751208374194	0.15638952544412305	0.06999371117799981	0.7012360343018919	0.0	0.0	0.0	0.0	1.0	1.0
600	-1559.6398725712713	-7.748677802716598	-1551.8911947685547	0.16437034390396596	0.054276420578825084	0.03384866356326639	0.15119853583417556	0.021064249487412326	0.03754730099837634	0.05214169598244174	0.02780250471554897	0.07879055267022848	0.179104545530837	0.8195451537913238	0.8879027802391624	0.3720174526653597	0.015151609208660998	0.04496967960459342	0.012352435687076897	0.027500377161471218	0.02000477306232988	0.01808902929440468	0.013633552558391505	0.011356271947146552	0.048973723170903	0.006947968636457984	0.0976163595221576	0.012137510257353535	0.6005887176294163	0.24861322276751838	0.01537823942910057	0.4525938926879237	0.8649775898334514	0.37546612088336495	0.5676648704279069	0.2792364972911068	0.5305614018278956	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.2772588722239781	0.0792729266925577	0.15638952544412305	0.06999371117799981	0.7012360343018919	0.0	0.0	0.0	0.0	1.0	1.0
700	-1563.4915319742363	-8.980058431809228	-1554.511473542427	0.10829090219176153	0.029378341895811788	0.03313180663122746	0.15119853583417556	0.029863255564844985	0.02803936126911577	0.06314197047755037	0.037973965838798474	0.07879055267022848	0.16108460275449676	0.7249459077518282	2.180021401435763	0.29048863763273475	0.034124313569749244	0.023651302762794316	0.004638543807760325	0.030327613562315378	0.025542938025366002	0.017946025508929368	0.01404017160326784	0.008978473040314457	0.04263995306539214	0.005659535290554706	0.06954127341399965	0.010391168755225853	0.6498931354615253	0.43145731902865	0.019123290146355776	0.4525938926879237	0.8649775898334514	0.37546612088336495	0.3913596664772019	0.26600916844848926	0.5305614018278956	0.2772588722239781	0.2772588722239781	0.2788262632026265	0.3164827706557308	0.34096659982263305	0.15638952544412305	0.06999371117799981	0.7012360343018919	0.0	0.0	0.0	0.0	1.0	1.0
800	-1559.9229939159106	-8.387010317914783	-1551.535983597996	0.06057273485176913	0.029378341895811788	0.020722753141610338	0.19880906689276784	0.0393090202843851	0.04100227241452205	0.05734964736979507	0.017419132920679335	0.055761637496494154	0.06462306505240846	0.4631416112977411	1.7249249401778959	0.2579282777527091	0.025875817734563426	0.02228285760404424	0.008544181894312806	0.030327613562315378	0.01877973095787695	0.012536664764361317	0.022491148614596328	0.011754491515396735	0.05714964176659299	0.0024269812325592643	0.08587801809535191	0.01142068396905928	0.6417778286432464	0.7014193112686591	0.027648711924565802	0.4525938926879237	0.8649775898334514	0.32517843054128914	0.3913596664772019	0.30424467035020397	0.5305614018278956	0.2772588722239781	0.2772588722239781	0.2788262632026265	0.3164827706557308	0.009422280778736547	0.15638952544412305	0.014994863351649212	0.2988339393983327	0.0	0.0	0.0	0.0	1.0	1.0
900	-1558.5508116911922	-10.934798659775897	-1547.6160130314163	0.12670705128429793	0.0531734782110484	0.023307708154181688	0.16790154702586615	0.022339348190696478	0.0653580990644198	0.06024750019639195	0.018068395656360498	0.055761637496494154	0.08483231942862435	1.131298370450141	2.3287337512432353	0.13205043689121376	0.04645805860001308	0.034840209305652584	0.011600776353302278	0.02258377310268832	0.025080450646939496	0.012536664764361317	0.015804500641092692	0.008470290225578487	0.030982171156125917	0.0034230366659929335	0.11919990296489877	0.027938362872884922	0.8389635815236348	1.765910908561488	0.025472196279581187	0.4525938926879237	0.8649775898334514	0.32517843054128914	0.3913596664772019	0.30424467035020397	0.5305614018278956	0.2772588722239781	0.2772588722239781	0.2788262632026265	0.3164827706557308	0.055582537335171614	0.15638952544412305	0.014994863351649212	0.2988339393983327	0.0	0.0	0.0	0.0	1.0	1.0
