it	d12_2.5	d12_7.5	d12_12.5	d12_17.5	d12_22.5	d12_27.5	d12_32.5	d12_37.5	d12_42.5	d12_47.5	d12_52.5	d12_57.5	d12_62.5	d12_67.5	d21_2.5	d21_7.5	d21_12.5	d21_17.5	d21_22.5	d21_27.5	d21_32.5	d21_37.5	d21_42.5	d21_47.5	d21_52.5	d21_57.5	d21_62.5	d21_67.5	e1_2.5	e1_7.5	e1_12.5	e1_17.5	e1_22.5	e1_27.5	e1_32.5	e1_37.5	e1_42.5	e1_47.5	e1_52.5	e1_57.5	e1_62.5	e1_67.5	e2_2.5	e2_7.5	e2_12.5	e2_17.5	e2_22.5	e2_27.5	e2_32.5	e2_37.5	e2_42.5	e2_47.5	e2_52.5	e2_57.5	e2_62.5	e2_67.5
0	0.07824280305589726	0.07824280305589726	0.07824280305589726	0.07824280305589726	0.07824280305589726	0.07824280305589726	0.0807160768485095	0.0807160768485095	0.0807160768485095	0.1380219977218583	0.1380219977218583	0.09951123625611782	0.09951123625611782	0.06563569286762516	0.0868576869765276	0.0868576869765276	0.0868576869765276	0.0868576869765276	0.0868576869765276	0.0868576869765276	0.12533800731255856	0.12533800731255856	0.12533800731255856	0.1402536556422245	0.1402536556422245	0.11351249610913382	0.11351249610913382	0.06938648596595468	0.03849248782589717	0.03849248782589717	0.03849248782589717	0.03849248782589717	0.03849248782589717	0.03849248782589717	0.022150337366074746	0.022150337366074746	0.022150337366074746	0.04018488901232527	0.04018488901232527	0.039846405630936846	0.039846405630936846	0.030159320375951315	0.022212541257932268	0.022212541257932268	0.022212541257932268	0.022212541257932268	0.022212541257932268	0.022212541257932268	0.03086637253653088	0.03086637253653088	0.03086637253653088	0.03512092314427703	0.03512092314427703	0.02830821150721677	0.02830821150721677	0.046924027303546556
100	0.06571025001798132	0.06571025001798132	0.06571025001798132	0.06571025001798132	0.06571025001798132	0.06571025001798132	0.04220005451522301	0.04220005451522301	0.04220005451522301	0.12159763858733225	0.12159763858733225	0.09591595999557545	0.09591595999557545	0.11637226806197111	0.10614276189432387	0.10614276189432387	0.10614276189432387	0.10614276189432387	0.10614276189432387	0.10614276189432387	0.06997859057725231	0.06997859057725231	0.06997859057725231	0.07160920669122144	0.07160920669122144	0.11760287706815539	0.11760287706815539	0.10438712524574713	0.013346832801323772	0.013346832801323772	0.013346832801323772	0.013346832801323772	0.013346832801323772	0.013346832801323772	0.014783100367453091	0.014783100367453091	0.014783100367453091	0.057496726974880334	0.057496726974880334	0.016731216202016688	0.016731216202016688	0.04816990636109517	0.07112299823493475	0.07112299823493475	0.07112299823493475	0.07112299823493475	0.07112299823493475	0.07112299823493475	0.04790307896027012	0.04790307896027012	0.04790307896027012	0.03305877619510206	0.03305877619510206	0.011957933308194963	0.011957933308194963	0.046924027303546556
200	0.05283114360413165	0.05283114360413165	0.05283114360413165	0.05283114360413165	0.05283114360413165	0.05283114360413165	0.04220005451522301	0.04220005451522301	0.04220005451522301	0.12159763858733225	0.12159763858733225	0.07175233767129245	0.07175233767129245	0.10172670461528883	0.08263900337819938	0.08263900337819938	0.08263900337819938	0.08263900337819938	0.08263900337819938	0.08263900337819938	0.08116559991769746	0.08116559991769746	0.08116559991769746	0.04166578766962817	0.04166578766962817	0.05717554627829053	0.05717554627829053	0.09694158218363487	0.004626467622431479	0.004626467622431479	0.004626467622431479	0.004626467622431479	0.004626467622431479	0.004626467622431479	0.011813962072788113	0.011813962072788113	0.011813962072788113	0.022206019252914103	0.022206019252914103	0.025344231028791842	0.025344231028791842	0.03333674001975155	0.11053521975671991	0.11053521975671991	0.11053521975671991	0.11053521975671991	0.11053521975671991	0.11053521975671991	0.03275259751459296	0.03275259751459296	0.03275259751459296	0.018517078008009263	0.018517078008009263	0.010735732890206288	0.010735732890206288	0.03863092076903714
300	0.05283114360413165	0.05283114360413165	0.05283114360413165	0.05283114360413165	0.05283114360413165	0.05283114360413165	0.04220005451522301	0.04220005451522301	0.04220005451522301	0.0772141162281415	0.0772141162281415	0.0698929964363022	0.0698929964363022	0.12644562214105604	0.12903935740168185	0.12903935740168185	0.12903935740168185	0.12903935740168185	0.12903935740168185	0.12903935740168185	0.07843579142776863	0.07843579142776863	0.07843579142776863	0.046372547113855196	0.046372547113855196	0.054932728690861604	0.054932728690861604	0.08091966307136565	0.0058139271479888685	0.0058139271479888685	0.0058139271479888685	0.0058139271479888685	0.0058139271479888685	0.0058139271479888685	0.011813962072788113	0.011813962072788113	0.011813962072788113	0.011300595836467052	0.011300595836467052	0.01729801065389162	0.01729801065389162	0.029408756485954334	0.0687320710259491	0.0687320710259491	0.0687320710259491	0.0687320710259491	0.0687320710259491	0.0687320710259491	0.043494380018322155	0.043494380018322155	0.043494380018322155	0.011787512315219495	0.011787512315219495	0.018243434126386425	0.018243434126386425	0.013824058042261021
400	0.05335158216470257	0.05335158216470257	0.05335158216470257	0.05335158216470257	0.05335158216470257	0.05335158216470257	0.05462209409864713	0.05462209409864713	0.05462209409864713	0.009410986338737402	0.009410986338737402	0.02437556092110372	0.02437556092110372	0.06444942057505157	0.2910217133864537	0.2910217133864537	0.2910217133864537	0.2910217133864537	0.2910217133864537	0.2910217133864537	0.040036174122681706	0.040036174122681706	0.040036174122681706	0.0482618024318961	0.0482618024318961	0.11416458972890164	0.11416458972890164	0.05640681820890472	0.005202851978207904	0.005202851978207904	0.005202851978207904	0.005202851978207904	0.005202851978207904	0.005202851978207904	0.013266774938220281	0.013266774938220281	0.013266774938220281	0.011300595836467052	0.011300595836467052	0.023888887379131456	0.023888887379131456	0.04199267430709806	0.06759605509606094	0.06759605509606094	0.06759605509606094	0.06759605509606094	0.06759605509606094	0.06759605509606094	0.04036187861294015	0.04036187861294015	0.04036187861294015	0.011006625610524384	0.011006625610524384	0.01582050762403901	0.01582050762403901	0.010775343220468202
500	0.07947910158604649	0.07947910158604649	0.07947910158604649	0.07947910158604649	0.07947910158604649	0.07947910158604649	0.044462774509249334	0.044462774509249334	0.044462774509249334	0.015463676855577925	0.015463676855577925	0.030537397328933076	0.030537397328933076	0.07072998866648769	0.1942010683934104	0.1942010683934104	0.1942010683934104	0.1942010683934104	0.1942010683934104	0.1942010683934104	0.02780250471554897	0.02780250471554897	0.02780250471554897	0.024605891002135557	0.024605891002135557	0.15119853583417556	0.15119853583417556	0.05770227482562559	0.006947968636457984	0.006947968636457984	0.006947968636457984	0.006947968636457984	0.006947968636457984	0.006947968636457984	0.009485476970735141	0.009485476970735141	0.009485476970735141	0.011872484050367433	0.011872484050367433	0.01692341468491466	0.01692341468491466	0.041098599567399495	0.0976163595221576	0.0976163595221576	0.0976163595221576	0.0976163595221576	0.0976163595221576	0.0976163595221576	0.03370489320986719	0.03370489320986719	0.03370489320986719	0.009151491145924088	0.009151491145924088	0.02000477306232988	0.02000477306232988	0.004664423969806349
600	0.07879055267022848	0.07879055267022848	0.07879055267022848	0.07879055267022848	0.07879055267022848	0.07879055267022848	0.05214169598244174	0.05214169598244174	0.05214169598244174	0.021064249487412326	0.021064249487412326	0.03384866356326639	0.03384866356326639	0.16437034390396596	0.179104545530837	0.179104545530837	0.179104545530837	0.179104545530837	0.179104545530837	0.179104545530837	0.02780250471554897	0.02780250471554897	0.02780250471554897	0.03754730099837634	0.03754730099837634	0.15119853583417556	0.15119853583417556	0.054276420578825084	0.006947968636457984	0.006947968636457984	0.006947968636457984	0.006947968636457984	0.006947968636457984	0.006947968636457984	0.011356271947146552	0.011356271947146552	0.011356271947146552	0.01808902929440468	0.01808902929440468	0.027500377161471218	0.027500377161471218	0.04496967960459342	0.0976163595221576	0.0976163595221576	0.0976163595221576	0.0976163595221576	0.0976163595221576	0.0976163595221576	0.048973723170903	0.048973723170903	0.048973723170903	0.013633552558391505	0.013633552558391505	0.02000477306232988	0.02000477306232988	0.012352435687076897
700	0.07879055267022848	0.07879055267022848	0.07879055267022848	0.07879055267022848	0.07879055267022848	0.07879055267022848	0.06314197047755037	0.06314197047755037	0.06314197047755037	0.029863255564844985	0.029863255564844985	0.03313180663122746	0.03313180663122746	0.10829090219176153	0.16108460275449676	0.16108460275449676	0.16108460275449676	0.16108460275449676	0.16108460275449676	0.16108460275449676	0.037973965838798474	0.037973965838798474	0.037973965838798474	0.02803936126911577	0.02803936126911577	0.15119853583417556	0.15119853583417556	0.029378341895811788	0.005659535290554706	0.005659535290554706	0.005659535290554706	0.005659535290554706	0.005659535290554706	0.005659535290554706	0.008978473040314457	0.008978473040314457	0.008978473040314457	0.017946025508929368	0.017946025508929368	0.030327613562315378	0.030327613562315378	0.023651302762794316	0.06954127341399965	0.06954127341399965	0.06954127341399965	0.06954127341399965	0.06954127341399965	0.06954127341399965	0.04263995306539214	0.04263995306539214	0.04263995306539214	0.01404017160326784	0.01404017160326784	0.025542938025366002	0.025542938025366002	0.004638543807760325
800	0.055761637496494154	0.055761637496494154	0.055761637496494154	0.055761637496494154	0.055761637496494154	0.055761637496494154	0.05734964736979507	0.05734964736979507	0.05734964736979507	0.0393090202843851	0.0393090202843851	0.020722753141610338	0.020722753141610338	0.06057273485176913	0.06462306505240846	0.06462306505240846	0.06462306505240846	0.06462306505240846	0.06462306505240846	0.06462306505240846	0.017419132920679335	0.017419132920679335	0.017419132920679335	0.04100227241452205	0.04100227241452205	0.19880906689276784	0.19880906689276784	0.029378341895811788	0.0024269812325592643	0.0024269812325592643	0.0024269812325592643	0.0024269812325592643	0.0024269812325592643	0.0024269812325592643	0.011754491515396735	0.011754491515396735	0.011754491515396735	0.012536664764361317	0.012536664764361317	0.030327613562315378	0.030327613562315378	0.02228285760404424	0.08587801809535191	0.08587801809535191	0.08587801809535191	0.08587801809535191	0.08587801809535191	0.08587801809535191	0.05714964176659299	0.05714964176659299	0.05714964176659299	0.022491148614596328	0.022491148614596328	0.01877973095787695	0.01877973095787695	0.008544181894312806
900	0.055761637496494154	0.055761637496494154	0.055761637496494154	0.055761637496494154	0.055761637496494154	0.055761637496494154	0.06024750019639195	0.06024750019639195	0.06024750019639195	0.022339348190696478	0.022339348190696478	0.023307708154181688	0.023307708154181688	0.12670705128429793	0.08483231942862435	0.08483231942862435	0.08483231942862435	0.08483231942862435	0.08483231942862435	0.08483231942862435	0.018068395656360498	0.018068395656360498	0.018068395656360498	0.0653580990644198	0.0653580990644198	0.16790154702586615	0.16790154702586615	0.0531734782110484	0.0034230366659929335	0.0034230366659929335	0.0034230366659929335	0.0034230366659929335	0.0034230366659929335	0.0034230366659929335	0.008470290225578487	0.008470290225578487	0.008470290225578487	0.012536664764361317	0.012536664764361317	0.02258377310268832	0.02258377310268832	0.034840209305652584	0.11919990296489877	0.11919990296489877	0.11919990296489877	0.11919990296489877	0.11919990296489877	0.11919990296489877	0.030982171156125917	0.030982171156125917	0.030982171156125917	0.015804500641092692	0.015804500641092692	0.025080450646939496	0.025080450646939496	0.011600776353302278
