it	d12_0.0	d12_0.0117	d12_2.588	d12_5.333	d12_11.62	d12_15.97	d12_23.03	d12_28.1	d12_33.9	d12_38.0	d12_41.3	d12_47.8	d12_56.0	d12_61.6	d12_66.0	d21_0.0	d21_0.0117	d21_2.588	d21_5.333	d21_11.62	d21_15.97	d21_23.03	d21_28.1	d21_33.9	d21_38.0	d21_41.3	d21_47.8	d21_56.0	d21_61.6	d21_66.0	e1_0.0	e1_0.0117	e1_2.588	e1_5.333	e1_11.62	e1_15.97	e1_23.03	e1_28.1	e1_33.9	e1_38.0	e1_41.3	e1_47.8	e1_56.0	e1_61.6	e1_66.0	e2_0.0	e2_0.0117	e2_2.588	e2_5.333	e2_11.62	e2_15.97	e2_23.03	e2_28.1	e2_33.9	e2_38.0	e2_41.3	e2_47.8	e2_56.0	e2_61.6	e2_66.0
0	0.10651734817019118	0.10651734817019118	0.135308551238989	0.135308551238989	0.135308551238989	0.135308551238989	0.135308551238989	0.135308551238989	0.13843841167758714	0.13843841167758714	0.13843841167758714	0.12737279834022935	0.05432901608739075	0.05432901608739075	0.12062632445513162	0.12075599478322231	0.12075599478322231	0.0617377604100948	0.0617377604100948	0.0617377604100948	0.0617377604100948	0.0617377604100948	0.0617377604100948	0.14308682962545582	0.14308682962545582	0.14308682962545582	0.05785229148341036	0.08614875846417379	0.08614875846417379	0.11613461343815697	0.03930004460433815	0.03930004460433815	0.0265591166507747	0.0265591166507747	0.0265591166507747	0.0265591166507747	0.0265591166507747	0.0265591166507747	0.049932670011378785	0.049932670011378785	0.049932670011378785	0.034295061557954996	0.041080765974416705	0.041080765974416705	0.03369149543063655	0.047149877229110244	0.047149877229110244	0.045165687426569436	0.045165687426569436	0.045165687426569436	0.045165687426569436	0.045165687426569436	0.045165687426569436	0.04258022431769403	0.04258022431769403	0.04258022431769403	0.021498914968093218	0.02178659395995478	0.02178659395995478	0.03879182837495679
100	0.09169942615260492	0.09169942615260492	0.135308551238989	0.135308551238989	0.135308551238989	0.135308551238989	0.135308551238989	0.135308551238989	0.08947119978392507	0.08947119978392507	0.08947119978392507	0.07130508799390706	0.0783780030786448	0.0783780030786448	0.3620999878875342	0.1456891484890552	0.1456891484890552	0.07109327476656183	0.07109327476656183	0.07109327476656183	0.07109327476656183	0.07109327476656183	0.07109327476656183	0.131693487635611	0.131693487635611	0.131693487635611	0.044530592664332895	0.03959547215027539	0.03959547215027539	0.10785116599844709	0.01849084988724946	0.01849084988724946	0.01594707614859405	0.01594707614859405	0.01594707614859405	0.01594707614859405	0.01594707614859405	0.01594707614859405	0.036856077634700606	0.036856077634700606	0.036856077634700606	0.034295061557954996	0.01876603391563469	0.01876603391563469	0.03635543039183199	0.06785591017551285	0.06785591017551285	0.025588997177229143	0.025588997177229143	0.025588997177229143	0.025588997177229143	0.025588997177229143	0.025588997177229143	0.020196845696524506	0.020196845696524506	0.020196845696524506	0.021498914968093218	0.02262679619610815	0.02262679619610815	0.031935964037037794
200	0.033904483344360734	0.033904483344360734	0.09607679056475626	0.09607679056475626	0.09607679056475626	0.09607679056475626	0.09607679056475626	0.09607679056475626	0.04362450244119584	0.04362450244119584	0.04362450244119584	0.07130508799390706	0.0829163709241632	0.0829163709241632	0.7799003958996277	0.24516131799928012	0.24516131799928012	0.05842072999254973	0.05842072999254973	0.05842072999254973	0.05842072999254973	0.05842072999254973	0.05842072999254973	0.16654874621435725	0.16654874621435725	0.16654874621435725	0.023573701787293507	0.01651852249996871	0.01651852249996871	0.24720878972447718	0.03666277752179456	0.03666277752179456	0.010652730394447262	0.010652730394447262	0.010652730394447262	0.010652730394447262	0.010652730394447262	0.010652730394447262	0.02945365265101714	0.02945365265101714	0.02945365265101714	0.020989697392728764	0.02276486348736466	0.02276486348736466	0.022007323825711862	0.10998923079518305	0.10998923079518305	0.027464910606407482	0.027464910606407482	0.027464910606407482	0.027464910606407482	0.027464910606407482	0.027464910606407482	0.015166205401089868	0.015166205401089868	0.015166205401089868	0.011051893927420795	0.013776609669450816	0.013776609669450816	0.03514021047017888
300	0.03919857800430302	0.03919857800430302	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.03040442834810842	0.03040442834810842	0.03040442834810842	0.07130508799390706	0.05747967971403077	0.05747967971403077	0.5539707556883081	0.4973308997347155	0.4973308997347155	0.09631842748661877	0.09631842748661877	0.09631842748661877	0.09631842748661877	0.09631842748661877	0.09631842748661877	0.0648523602578183	0.0648523602578183	0.0648523602578183	0.016807862462410516	0.0386628024283018	0.0386628024283018	1.794514058085587	0.06026547468226821	0.06026547468226821	0.020040157311774182	0.020040157311774182	0.020040157311774182	0.020040157311774182	0.020040157311774182	0.020040157311774182	0.02945365265101714	0.02945365265101714	0.02945365265101714	0.017215444253217183	0.02145763505048353	0.02145763505048353	0.02703387994416874	0.17863530239650457	0.17863530239650457	0.027464910606407482	0.027464910606407482	0.027464910606407482	0.027464910606407482	0.027464910606407482	0.027464910606407482	0.02014022554568465	0.02014022554568465	0.02014022554568465	0.011051893927420795	0.009505656003664431	0.009505656003664431	0.02024852884880674
400	0.0675068929114385	0.0675068929114385	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.04376663753602334	0.04376663753602334	0.04376663753602334	0.003961935603619404	0.12225352658390987	0.12225352658390987	0.16616182200408006	0.8150050870629589	0.8150050870629589	0.07977756123314045	0.07977756123314045	0.07977756123314045	0.07977756123314045	0.07977756123314045	0.07977756123314045	0.030426609906623478	0.030426609906623478	0.030426609906623478	0.022919634134210266	0.03179133538711681	0.03179133538711681	0.8297905789723927	0.06026547468226821	0.06026547468226821	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.02945365265101714	0.02945365265101714	0.02945365265101714	0.017215444253217183	0.01640822251285289	0.01640822251285289	0.02152371763075691	0.4712142382860988	0.4712142382860988	0.02231512493609853	0.02231512493609853	0.02231512493609853	0.02231512493609853	0.02231512493609853	0.02231512493609853	0.012102094713717721	0.012102094713717721	0.012102094713717721	0.01031973969514224	0.009258293690519379	0.009258293690519379	0.006149868823483223
500	0.07416792921309176	0.07416792921309176	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.044217401180084395	0.058438355027952284	0.058438355027952284	0.058438355027952284	0.0035271667773159447	0.08702980119593125	0.08702980119593125	0.4650333275414726	1.0810792720264764	1.0810792720264764	0.08025731732996164	0.08025731732996164	0.08025731732996164	0.08025731732996164	0.08025731732996164	0.08025731732996164	0.024619442531666147	0.024619442531666147	0.024619442531666147	0.015120369332782735	0.05120466102744064	0.05120466102744064	1.2481958769482093	0.022487515048373617	0.022487515048373617	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.02105876863263754	0.02105876863263754	0.02105876863263754	0.018086664656808922	0.027597947028963628	0.027597947028963628	0.026352377513057423	0.47096360942875726	0.47096360942875726	0.023252434851458476	0.023252434851458476	0.023252434851458476	0.023252434851458476	0.023252434851458476	0.023252434851458476	0.012102094713717721	0.012102094713717721	0.012102094713717721	0.015637483911252782	0.009258293690519379	0.009258293690519379	0.003164806145132121
600	0.1352914486005296	0.1352914486005296	0.05656971531474352	0.05656971531474352	0.05656971531474352	0.05656971531474352	0.05656971531474352	0.05656971531474352	0.07052151621276781	0.07052151621276781	0.07052151621276781	0.0025259591678593015	0.09275983436502334	0.09275983436502334	0.5714329328023652	1.0523449286602613	1.0523449286602613	0.06445609063482176	0.06445609063482176	0.06445609063482176	0.06445609063482176	0.06445609063482176	0.06445609063482176	0.024619442531666147	0.024619442531666147	0.024619442531666147	0.018703214410942404	0.09214570107609267	0.09214570107609267	1.1664999258817077	0.022487515048373617	0.022487515048373617	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.01793382845349708	0.02105876863263754	0.02105876863263754	0.02105876863263754	0.027557013799901883	0.027241070437660473	0.027241070437660473	0.01957890881383681	0.48358014046590136	0.48358014046590136	0.023252434851458476	0.023252434851458476	0.023252434851458476	0.023252434851458476	0.023252434851458476	0.023252434851458476	0.017584527938042844	0.017584527938042844	0.017584527938042844	0.011303779602871608	0.00909812506507643	0.00909812506507643	0.0061936879879750115
700	0.06127602773469524	0.06127602773469524	0.04410850316204773	0.04410850316204773	0.04410850316204773	0.04410850316204773	0.04410850316204773	0.04410850316204773	0.044484957265498254	0.044484957265498254	0.044484957265498254	0.0033814614078720847	0.09275983436502334	0.09275983436502334	0.19255872717725803	1.1568409298368554	1.1568409298368554	0.05492545809797321	0.05492545809797321	0.05492545809797321	0.05492545809797321	0.05492545809797321	0.05492545809797321	0.032375062833999886	0.032375062833999886	0.032375062833999886	0.012836184088006233	0.09214570107609267	0.09214570107609267	0.5425884915361131	0.025953951129519266	0.025953951129519266	0.01630786511909056	0.01630786511909056	0.01630786511909056	0.01630786511909056	0.01630786511909056	0.01630786511909056	0.01664944158702225	0.01664944158702225	0.01664944158702225	0.01802628553567411	0.03825535511049412	0.03825535511049412	0.013936882183387242	0.7440109687089795	0.7440109687089795	0.01951336415531761	0.01951336415531761	0.01951336415531761	0.01951336415531761	0.01951336415531761	0.01951336415531761	0.01807622359605752	0.01807622359605752	0.01807622359605752	0.017719942430373312	0.010989891324236157	0.010989891324236157	0.0031713381404227356
800	0.047651577220658936	0.047651577220658936	0.044547422545023634	0.044547422545023634	0.044547422545023634	0.044547422545023634	0.044547422545023634	0.044547422545023634	0.06249543692093031	0.06249543692093031	0.06249543692093031	0.004451019574348915	0.09275983436502334	0.09275983436502334	0.17508353943583813	1.4581200742052143	1.4581200742052143	0.06780010407657167	0.06780010407657167	0.06780010407657167	0.06780010407657167	0.06780010407657167	0.06780010407657167	0.032375062833999886	0.032375062833999886	0.032375062833999886	0.020105355891400997	0.09214570107609267	0.09214570107609267	0.5041946306659383	0.021159430325617505	0.021159430325617505	0.01630786511909056	0.01630786511909056	0.01630786511909056	0.01630786511909056	0.01630786511909056	0.01630786511909056	0.026715266205811668	0.026715266205811668	0.026715266205811668	0.01853371593923796	0.03825535511049412	0.03825535511049412	0.013936882183387242	0.4792023499340088	0.4792023499340088	0.01986019416441021	0.01986019416441021	0.01986019416441021	0.01986019416441021	0.01986019416441021	0.01986019416441021	0.01807622359605752	0.01807622359605752	0.01807622359605752	0.012451780311442626	0.00808001029953968	0.00808001029953968	0.004048732374385994
900	0.1439314751092056	0.1439314751092056	0.03898277056913239	0.03898277056913239	0.03898277056913239	0.03898277056913239	0.03898277056913239	0.03898277056913239	0.03977655445013283	0.03977655445013283	0.03977655445013283	0.0025295180433302284	0.10920193686638618	0.10920193686638618	0.16568718825719847	1.2026237740076002	1.2026237740076002	0.06780010407657167	0.06780010407657167	0.06780010407657167	0.06780010407657167	0.06780010407657167	0.06780010407657167	0.03716227345182808	0.03716227345182808	0.03716227345182808	0.016948485800148818	0.05458003628926674	0.05458003628926674	1.230944397490331	0.03462167301787283	0.03462167301787283	0.017569859320012815	0.017569859320012815	0.017569859320012815	0.017569859320012815	0.017569859320012815	0.017569859320012815	0.019585665159801473	0.019585665159801473	0.019585665159801473	0.028820959291482786	0.028487248362057033	0.028487248362057033	0.02023716921430174	0.7333676429736284	0.7333676429736284	0.02202351184946518	0.02202351184946518	0.02202351184946518	0.02202351184946518	0.02202351184946518	0.02202351184946518	0.01807622359605752	0.01807622359605752	0.01807622359605752	0.01700428757178251	0.005906072400250656	0.005906072400250656	0.008438857093842607
