it	posterior	prior	likelihood	d12_t66.0	d21_t66.0	d12_t56.0	d21_t56.0	d12_t47.8	d21_t47.8	d12_t33.9	d21_t33.9	d12_t2.588	d21_t2.588	d12_t0.0	d21_t0.0	d12_t0.0	d21_t0.0	e1_t66.0	e2_t66.0	e1_t56.0	e2_t56.0	e1_t47.8	e2_t47.8	e1_t33.9	e2_t33.9	e1_t2.588	e2_t2.588	e1_t0.0	e2_t0.0	e1_t0.0	e2_t0.0	q1_t66.0	q2_t66.0	q1_t56.0	q2_t56.0	q1_t47.8	q2_t47.8	q1_t33.9	q2_t33.9	q1_t2.588	q2_t2.588	q1_t0.0	q2_t0.0	q1_t0.0	q2_t0.0	cov_d12	cov_d21	cov_e1	cov_e2	hp_rate	beta
0	-2363.325621247221	-5.404147813792293	-2357.9214734334287	0.09321070912997065	0.11904340198543137	0.07160253512516071	0.07839434378462468	0.12778206109003842	0.14299801363463566	0.06900495036166898	0.07960632894182326	0.05062102671905161	0.09315622452804016	0.0710295071752601	0.11414247825536214	0.12095892156781084	0.06187777143984851	0.025569550189638558	0.031336139890640574	0.04852966259654683	0.04036216048865341	0.023021611903959578	0.013433972044811742	0.03144096066753644	0.023445017717493247	0.010867416181044077	0.04084609333015115	0.025396365194159314	0.032852846002349424	0.04022971423184921	0.04763389679604183	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.0	0.0	0.0	0.0	1.0	1.0
100	-2053.111868756524	-5.45154816212751	-2047.6603205943966	0.24072604612699733	0.08416267669725909	0.03647867691527698	0.04582089438740628	0.12145801173396861	0.14299801363463566	0.04379045294444762	0.024779234274222232	0.06124501153671223	0.01915899648803071	0.37196278162079227	0.05488694283705107	0.12567172353463305	0.030273465445783333	0.06307865387524934	0.02499131853663739	0.02777288243491109	0.017677079621026954	0.04263869321263954	0.009874252987113304	0.035174757870919594	0.033822060032561004	0.010867416181044077	0.016377286620830774	0.007031466057834055	0.017340767780680832	0.019441990528785025	0.046292475391370075	0.22209811063806206	0.2429156442167508	0.538059969330049	0.42017584106870265	0.22726137067539212	0.22726137067539212	0.27290042357330224	0.22726137067539212	0.27086854784067615	0.24155368457065804	0.29573713160938536	0.21692286153319362	0.22726137067539212	0.06842662406994798	0.0	0.0	0.0	0.0	1.0	1.0
200	-1913.9750104861482	-5.0899983877382535	-1908.88501209841	0.1471115713436363	0.04988094397827999	0.05393011674268941	0.02827240103893234	0.08340159863761126	0.05463296224836644	0.013950423612071744	0.01781250040491818	0.06124501153671223	0.00356817073500154	0.4994592706910507	0.03144123080127102	0.07233342197031543	0.02833764527490631	0.03380831949419284	0.017139249115106506	0.01286295571319257	0.007530495580869418	0.04263869321263954	0.006814237987675924	0.027889466588684724	0.02118214999482303	0.018633399568836823	0.008039836246178725	0.0026198412775419937	0.013513560984590485	0.01218207546419276	0.04401270467527463	0.22209811063806206	0.2429156442167508	0.538059969330049	0.3469435921656308	0.46986802569316843	0.3245875680382888	0.27290042357330224	0.22726137067539212	0.27086854784067615	0.24155368457065804	0.1303987400152858	0.21692286153319362	0.5183046750890852	0.11692663434440725	0.0	0.0	0.0	0.0	1.0	1.0
300	-1854.6846477422212	-5.308050056830486	-1849.3765976853906	0.07894750198981476	0.05419114845048729	0.0226228570124717	0.01092477344618498	0.11673214437754265	0.024094479505471136	0.01635636991963766	0.009197810839106741	0.03672428299415389	0.00464769257624419	0.7205889460227634	0.05613243426965656	0.18839343237183553	0.02506506375273616	0.06709514211576269	0.005606956611261757	0.010549948738442713	0.003025032074953491	0.017613664552110986	0.00387662491166611	0.018361664782845215	0.02118214999482303	0.016904643129601292	0.01162121305704151	0.0037029195895601397	0.010733455584669748	0.01505505089577603	0.06234852044517376	0.22209811063806206	0.40008222678848226	0.538059969330049	0.3469435921656308	0.46986802569316843	0.3245875680382888	0.2974660836771363	0.22726137067539212	0.562854408310769	0.17906441523499805	0.1663893399999719	0.2779158512743752	0.5183046750890852	0.047041742157377206	0.0	0.0	0.0	0.0	1.0	1.0
400	-1844.7520699483923	-4.84244159214269	-1839.9096283562496	0.04706193134648452	0.10755899838079283	0.022146416556538828	0.012220877726295775	0.05833423989051868	0.011616424684193072	0.0032899766088102795	0.010402053571563307	0.043584098832674514	0.006227131824168501	0.42628947962600167	0.03190345890748282	0.10811201379404889	0.039837412725724414	0.05149867957683511	0.013810064498738672	0.009300800159197492	0.002895458574922119	0.01481433399070165	0.006431006397073861	0.0171506262276292	0.02118214999482303	0.01466253429902966	0.01162121305704151	0.0019354334275287707	0.017878424521364275	0.04118846100422558	0.013733759119590688	0.22209811063806206	0.40008222678848226	0.538059969330049	0.3469435921656308	0.4310437932178293	0.3245875680382888	0.2974660836771363	0.22726137067539212	0.3271133686900291	0.17906441523499805	0.17551264620334517	0.38781356933832484	0.08383043141546942	0.046349596758593244	0.0	0.0	0.0	0.0	1.0	1.0
500	-1843.9364722587168	-5.458165803385429	-1838.4783064553314	0.02560964254717696	0.04777131049037417	0.019562248617739024	0.010552067058611168	0.11805713302844772	0.008886092100354959	0.0035634239003349954	0.016902802017975067	0.045912931110653164	0.00610557166106553	0.7317208453318947	0.06710538211695716	0.24248033791576595	0.18373689514230915	0.0723879156591519	0.010694572754170746	0.012339723545143741	0.00579941447338022	0.009352816455305361	0.00969576686215882	0.01640427515873386	0.022977660722893443	0.01466253429902966	0.01302059400897296	0.003107773882647472	0.01958786932162936	0.02926036395668987	0.015153706427171327	0.22209811063806206	0.40008222678848226	0.538059969330049	0.3469435921656308	0.4310437932178293	0.49275941809114093	0.2974660836771363	0.22726137067539212	0.3271133686900291	0.17906441523499805	0.17551264620334517	0.27763038121413813	0.08383043141546942	0.020685975468400723	0.0	0.0	0.0	0.0	1.0	1.0
600	-1835.9792925377196	-6.0194588307177295	-1829.959833707002	0.03205951989718837	0.05322439205106782	0.021202607398845285	0.005431661834881175	0.11428705086996055	0.011513190032621629	0.0035634239003349954	0.011126914912388663	0.03774019715526875	0.004859198557933411	1.1131869776171093	0.09876308167438848	0.3181548332902947	0.11143875207790664	0.0723879156591519	0.0028053942335085845	0.005889124531277466	0.0030788722661686486	0.009866059977696101	0.006525446655369888	0.016138467649635696	0.02789157090936422	0.02212242210369504	0.013200105095248528	0.002073635185346287	0.1863875628370433	0.018133746570459266	0.020652572954884443	0.22209811063806206	0.5149763060538908	0.538059969330049	0.3469435921656308	0.4310437932178293	0.49275941809114093	0.2974660836771363	0.22726137067539212	0.4652489244848404	0.17906441523499805	0.12025993447402031	0.23292994221327812	0.06973793986806036	0.02550268161000104	0.0	0.0	0.0	0.0	1.0	1.0
700	-1837.528776463841	-7.354062624992271	-1830.1747138388487	0.0834141203520498	0.16370407034779533	0.04155373394038292	0.0047623271728696554	0.11428705086996055	0.005385183594332389	0.006838823537921834	0.018155242635533277	0.03774019715526875	0.00872642919089771	1.544239828393151	0.0160553880133379	0.34408990466017125	0.565412360309512	0.12520240602470886	0.007053786197543719	0.0106676699408157	0.005456720393942072	0.014094064768199426	0.004683004193511897	0.018454241358717736	0.02789157090936422	0.018199220795601233	0.013200105095248528	0.0003043731623629166	0.3924632151047335	0.014306685941071824	0.071966768114574	0.22209811063806206	0.5149763060538908	0.6727719002524454	0.3469435921656308	0.4310437932178293	0.49275941809114093	0.2974660836771363	0.22726137067539212	0.4652489244848404	0.17906441523499805	0.12025993447402031	0.23292994221327812	0.06973793986806036	0.02550268161000104	0.0	0.0	0.0	0.0	1.0	1.0
800	-1835.9973565950463	-7.408642333181401	-1828.5887142618649	0.07970988437844355	0.08802712190348325	0.01165367895492645	0.009504733981431701	0.09056218560204043	0.003608891110433356	0.009904869730292976	0.02158481564172826	0.03774019715526875	0.007870149397786864	1.1013120341192346	0.09541472381564718	0.19172494109144753	0.6387442565946945	0.035008418845455476	0.006404527033355924	0.007245672743862138	0.0031832691614797023	0.014094064768199426	0.007705264778371211	0.015815964262512118	0.02261981903698782	0.01206998870835735	0.007733604874152647	0.00046353977992914466	1.1152550133841928	0.02595980139442181	0.071966768114574	0.2805046584715686	0.5149763060538908	0.6727719002524454	0.3469435921656308	0.4310437932178293	0.49275941809114093	0.2974660836771363	0.22726137067539212	0.4652489244848404	0.17906441523499805	0.24713812573292876	0.5166471913064732	0.06973793986806036	0.008883605378613149	0.0	0.0	0.0	0.0	1.0	1.0
900	-1841.790308613946	-9.662048651039367	-1832.1282599629067	0.1276686436944962	0.09950856604415609	0.03064239015815787	0.009504733981431701	0.09056218560204043	0.0030889865838061043	0.0018006218881996148	0.015196487578153346	0.05613696558420902	0.003002814578788073	1.2451568165982074	0.12250326160958479	0.5529251737455293	0.6557046121784167	0.04688890043986314	0.005468457356662398	0.014488324299122037	0.004843331378931228	0.021580138572834407	0.010523594915922514	0.017659355850812124	0.026841201668509014	0.022853672027242755	0.011516874262524904	0.0005758601715448711	2.7313563928617284	0.022875009142318794	0.035421145447483086	0.2805046584715686	0.5149763060538908	0.6727719002524454	0.3469435921656308	0.4310437932178293	0.49275941809114093	0.2974660836771363	0.22726137067539212	0.4652489244848404	0.17906441523499805	0.275207677514096	0.5166471913064732	0.06973793986806036	0.008883605378613149	0.0	0.0	0.0	0.0	1.0	1.0
1000	-1834.008634484731	-8.531158477761869	-1825.477476006969	0.07728324499364492	0.0873845791322606	0.030614827590758575	0.0059142301762653525	0.06711995566688278	0.003049837049297762	0.0007547926458926094	0.02095168163050319	0.03924670285158698	0.010022424776223856	0.9975127990742602	0.5492577291864519	0.433124418702728	0.7978083014998288	0.028248779071228063	0.004720664644126664	0.0122683267314502	0.001730311465499793	0.011719048805854603	0.0035279327011519517	0.017659355850812124	0.026841201668509014	0.020059730291142417	0.011516874262524904	0.0007331892294180934	1.4779085668755458	0.046329346072908215	0.07209549229642079	0.29619578699724797	0.5149763060538908	0.6727719002524454	0.3469435921656308	0.4310437932178293	0.5222451727314734	0.2974660836771363	0.22726137067539212	0.4088676560560593	0.17906441523499805	0.3503171992649531	0.10424327465306918	0.11589265847181275	0.09051385120358717	0.0	0.0	0.0	0.0	1.0	1.0
1100	-1833.0910789620161	-7.749498354264547	-1825.3415806077517	0.0699638645137794	0.1056369969285807	0.04899606926532087	0.00561468693855806	0.1023634815235385	0.0014852606161592245	0.0010201133255035694	0.020704763564103106	0.039940314531583226	0.010022424776223856	1.1335111782156135	0.5492577291864519	0.49404047668558765	0.2683958319333648	0.015667545935560755	0.005125596698295728	0.00817220586869504	0.0029419894435532305	0.02256779059367056	0.006070233506308838	0.016464590799920114	0.02835962917662331	0.020059730291142417	0.013790906816397544	0.0006946977197640647	0.8364582053129277	0.16272963266069693	0.08368827461793177	0.18578243526526123	0.5149763060538908	0.48219615168641766	0.3469435921656308	0.4310437932178293	0.5458088921110914	0.2974660836771363	0.22726137067539212	0.4088676560560593	0.17906441523499805	0.2087929601448342	0.648817536894427	0.19340510057284774	0.08852037494083181	0.0	0.0	0.0	0.0	1.0	1.0
1200	-1831.4261309665637	-8.025050019844063	-1823.4010809467197	0.16934901443029737	0.1240902403975624	0.035888711759956136	0.011025539122013643	0.10194705788570406	0.0036849760888169884	0.0027239365083349685	0.023984062409278722	0.037573419078269485	0.010136170105698226	1.284148557628321	0.9439091971260583	0.2927699297357396	0.21668320544763325	0.00908778028761226	0.0025341418707784313	0.007808263725334904	0.0038514197308081514	0.011485917793486728	0.009564271824937923	0.02145392616858434	0.02835962917662331	0.02182240731119273	0.013790906816397544	0.003701468039383423	0.5564065154428061	0.31496231766752064	0.08655290344622145	0.18578243526526123	0.5149763060538908	0.48219615168641766	0.3469435921656308	0.4310437932178293	0.5458088921110914	0.2974660836771363	0.22726137067539212	0.4088676560560593	0.17906441523499805	0.7828785800042781	0.648817536894427	0.19340510057284774	0.05051334634457411	0.0	0.0	0.0	0.0	1.0	1.0
1300	-1833.9300385503707	-9.170653456723864	-1824.7593850936469	0.27187022215403334	0.08542900848364415	0.034476793803493194	0.007729847845104595	0.10465407617405925	0.0035225349998071797	0.004767468950523511	0.023984062409278722	0.028819775064810482	0.007229654084531086	0.8305040069217299	1.2072430415065356	0.6583844062485739	0.11107437686932682	0.014949532780446114	0.008724643846333575	0.007156351153105655	0.002956985350981402	0.014537452756918132	0.0053551374072640795	0.026843735263245475	0.02835962917662331	0.023632682096073238	0.009374171508067753	0.0014922597348701755	0.6972355847079122	0.8228891773254368	0.451702705282444	0.18578243526526123	0.5149763060538908	0.48219615168641766	0.3469435921656308	0.4310437932178293	0.5458088921110914	0.2974660836771363	0.22726137067539212	0.4088676560560593	0.17906441523499805	0.7828785800042781	0.35396685607430634	0.0791492693641047	0.05051334634457411	0.0	0.0	0.0	0.0	1.0	1.0
1400	-1832.8194316164968	-8.603163220048614	-1824.2162683964482	0.19295571201477502	0.023934012456825696	0.031915296072086	0.007729847845104595	0.07697564427748856	0.006357999418950205	0.00548482090464883	0.023984062409278722	0.03783376729000325	0.006222046760237447	0.23919377689790464	0.8714425231480541	0.6931959236309033	0.25087131779684263	0.007399251561142383	0.003809586278357376	0.010075415526743323	0.00218705173342372	0.02271604376485864	0.009442605077465395	0.02371917906721006	0.02835962917662331	0.02008056001643926	0.012845963396669494	0.0013208865355963122	1.0306022310094767	0.8095725169030916	0.477181416259723	0.18578243526526123	0.5149763060538908	0.48219615168641766	0.3469435921656308	0.40027391467714635	0.5458088921110914	0.2974660836771363	0.22726137067539212	0.4088676560560593	0.17906441523499805	0.14006076370039655	0.5135864114674018	0.0791492693641047	0.05051334634457411	0.0	0.0	0.0	0.0	1.0	1.0
